:START_ID(User),:END_ID(Review),:TYPE
8rrmvJ7W3ujplXuOhjE2Hg,2xlNGuN8naQTHO3_xY0lGw,HAS_WROTES
TRFTDMJegE6DituEKBpEKQ,_Dkml_CfMMb_wWeGpFtczg,HAS_WROTES
glO-c9FC0RaY2GyiamCQFA,EmLTCw2p9BhOwnzHFXgGaQ,HAS_WROTES
cFaHx-FkCnzdfF8BccukIg,PlYifdeyiixRZkymbUNqVQ,HAS_WROTES
hefsTMvc-iSBsY_Nfa8WCg,PtUd264rjqWuEzL89nf64w,HAS_WROTES
uXI02ZXkTrVfjcs8ogfAhQ,jh63cU95B-Kjgyev_a_4oQ,HAS_WROTES
yFY8vpUER318VtlT-FV0zA,2DUxwJgRW1Ds_EN763CiQQ,HAS_WROTES
pDb21-rXH8Kp7o8VnhPXfw,lV_V_FklhhmMaWRXAB_tyA,HAS_WROTES
duKhEm4zoR5G2nllvoxqgQ,OaYClWZ3UyrAWo60tGCVsg,HAS_WROTES
tNmMjWPcQk8zeUR0phG8UQ,TM1PkkUDSMpb0ijfePRmBQ,HAS_WROTES
71_DHzOBVFqm8QcnMg_9nA,sw_4E8mRaRFjU-oCcWvfDQ,HAS_WROTES
hnBjegpdsr9rqMBD4qf3Yw,_Xc59GTigWeEudLbRulLtw,HAS_WROTES
C3g8rpjTzTdxmujnHaR1Tw,1WFRWOUQjfl0R2eH6veBnQ,HAS_WROTES
9kMl5dY91gmSWOqYM7SXkQ,F7Ij517v1icGKajQN6IahQ,HAS_WROTES
jnP_wqOZGUsWVMwNH5jD0A,ZLVPEj5TNyYDxRXH8JndKQ,HAS_WROTES
0H91JkjnSEXlNCIRvrZxKQ,jt7r04KKzpy4HKjFiuqBkA,HAS_WROTES
NMOxipsnXc6olWdHYzXiYA,50_IPMsBuclmeMme2r69Rw,HAS_WROTES
KZNpUHqATkV6CfDMwC8HzQ,BsxM-F-H6Rsq66R739BKxg,HAS_WROTES
tNmMjWPcQk8zeUR0phG8UQ,Je-DY6xJb3erto4rAAUAbA,HAS_WROTES
o4weHX0tKQRJx_3UeiNiKQ,TUmoUxxqYMhZfnOnB2QWxw,HAS_WROTES
XjLvFaNKzzprEDRR-3kxsQ,CzqjdvdDIscS7zgGVw7Zxg,HAS_WROTES
n2UpKhkU2N-66a1QQzrjYw,NCFxVrkBeIrd4FaMiOYMjA,HAS_WROTES
xJsQdMwcKZDdaF9ZfcY75w,_CGKxv6za2tCtrKowjnkjQ,HAS_WROTES
wOtU6wSzzE_pibrbKa-n6Q,A5DNY8-D--lvnN3kULVWCA,HAS_WROTES
GIDIA7h46PDp2LirqCjtpw,xIHgQqnqNXljZiS6qZlMZQ,HAS_WROTES
h8zf3ABs1ZBfxtJjPrs__w,gkS5Repk69a-DP_TMbgB_w,HAS_WROTES
Pv_ej8xzMvBijfd96gQ18A,_iJVbGplMVHedz4OGhACrw,HAS_WROTES
Kj0Q_b0DHCghpK65CP3JVw,cIquDyNc744By2bHLxqfIA,HAS_WROTES
xOFcwFrmjwnXYjLqxk_rjQ,TVLHNezslSkBMLkuJzCf-g,HAS_WROTES
_MZgpTdm-0HoTl6y9rVHgA,vnKQUkXOd1dJqNaE3v4slQ,HAS_WROTES
B326uLLhe-vBCzuRt4cgIQ,GPq3wEvpcgL8RCNZ48e5dA,HAS_WROTES
Aa1cdgFJYWe37RE4dnrh0w,fQbAGJDA1NcY0eV5tVvyZA,HAS_WROTES
H23mqs3dfQZJKmVhdFLL8A,SMMcnv0U52M5wHGbSIuLTw,HAS_WROTES
eS-FKZSwF7nVo5z_u7GWBg,-K-cKT1vqdxsULnt3NRtRQ,HAS_WROTES
lKXC8QOjVginznZymty7OA,lboTi4ugxWmTX1xaQKro8A,HAS_WROTES
kh98qgXOvPRvD2vHI3zQNQ,Exn5AZNLWc0HRU9gxJHaBg,HAS_WROTES
61nr50PqgF4WUWx4r-OcsQ,0LdQwsbjC42ZHZG58yL0JA,HAS_WROTES
babz0Skb20B2C-y4oUof5w,25vz0UD1XgpTR5equRyUAA,HAS_WROTES
