:START_ID(User),:END_ID(User),:TYPE
IpLRJY4CP3fXtlEd8Y4GFQ,63hpZgj7peTKizDs4zeKZA,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,IWxNILja-WvurTuJWJ4skA,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,pLZIZXIebqEcrX7IVKoJRg,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,vU9_lZqJQIR8btUYw7fqxA,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,cUB2WhICFuSe7DwXAIoo0g,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,srETv2HpH9fQ-7wCvCAQng,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,IPxJLWpKptzpTWlfjFiuHA,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,UiRx8jyS6H957ItwFsP2nQ,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,u1gUbwyeBe8mtV97hZyImg,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,gTrKXmAx1ytdvh1xutIlfA,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,B9iPTih0dmpZn6fRyZnLLg,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,_LNCGYNoGKxyVUag3EG0-g,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,Ed0GuUa_1UjbSk8qaQsHlA,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,pbCb0Tz0KQ0kkgaxzhWhoA,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,rkxGrjk2WeAT5ZMfChT3kw,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,dhLizr4a2oydrv15y56r0A,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,_hPjqzQDiyw1-4U_IAETpg,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,2-RlTk9dJNpj85MR2B46Cg,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,47K1MpOBhigOvjuBcDbm7Q,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,z02XKjGqJMONH59_lUHlTQ,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,lRRuTimITgwzoXLIM3g9qw,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,_BcWyKQL16ndpBdggh2kNA,IS_FRIEND_WITH
IpLRJY4CP3fXtlEd8Y4GFQ,y3Wtx1pOvTiqsJRkjceXiw,IS_FRIEND_WITH
0juMoWXC7z4c7LgQP2s3sA,sGaoPWB_p1aOm5z9cnV3Aw,IS_FRIEND_WITH
0juMoWXC7z4c7LgQP2s3sA,X-8WUdJ1hYidYXQygzTEBw,IS_FRIEND_WITH
0juMoWXC7z4c7LgQP2s3sA,HUxktqjf5kJm0tIHTCCwsQ,IS_FRIEND_WITH
0juMoWXC7z4c7LgQP2s3sA,46Wi08T5D3phf3SMgi7U3w,IS_FRIEND_WITH
FlhZYUEhfpfm0Ynxacftwg,kTpsjDUhl9BlRl0FVuNreA,IS_FRIEND_WITH
FlhZYUEhfpfm0Ynxacftwg,Zpb3qkFUeQOY5e8ZrNeGaQ,IS_FRIEND_WITH
FlhZYUEhfpfm0Ynxacftwg,Vgk5Cnye-wjiSMGDBKoK9w,IS_FRIEND_WITH
FlhZYUEhfpfm0Ynxacftwg,Oi1qbcz2m2SnwUeztGYcnQ,IS_FRIEND_WITH
FlhZYUEhfpfm0Ynxacftwg,UiRx8jyS6H957ItwFsP2nQ,IS_FRIEND_WITH
PadmV2GEoA6mWpQUpPh7Ig,wZPizeBxMAyOSl0M0zuCjg,IS_FRIEND_WITH
PadmV2GEoA6mWpQUpPh7Ig,hHoigAK81AtqSUtBmkqWjg,IS_FRIEND_WITH
1-gnHNzZNbn8lFwYRF_CtA,47K1MpOBhigOvjuBcDbm7Q,IS_FRIEND_WITH
1-gnHNzZNbn8lFwYRF_CtA,rm92EiaA7h5lLbAK5dJKcw,IS_FRIEND_WITH
1-gnHNzZNbn8lFwYRF_CtA,-NbeVN5tnwdyYAvdNkKMjw,IS_FRIEND_WITH
UJEjJgi1xpmLR4b3J8fn2Q,IfiZzbPMZvlQ94IffHV7kg,IS_FRIEND_WITH
UJEjJgi1xpmLR4b3J8fn2Q,tUW0AXg4C3H9TP5lyhoQuA,IS_FRIEND_WITH
UJEjJgi1xpmLR4b3J8fn2Q,6pbNMgTnSYrtPHDN07IXwA,IS_FRIEND_WITH
